variant,election_id,candidate_key,candidate_name,pred_pct,actual_pct,error_pp,abs_error_pp
strict_base,pres_2002,A,노무현,39.35652915723745,49.20915387642496,-9.852624719187514,9.852624719187514
strict_base,pres_2002,B,이회창,43.17421139042354,46.87048277717644,-3.696271386752908,3.696271386752908
strict_base,pres_2002,C,권영길,17.46925945233902,3.9203633463985774,13.54889610594044,13.54889610594044
strict_base,pres_2007,A,이명박,41.51572296215416,54.1403354410904,-12.624612478936248,12.624612478936248
strict_base,pres_2007,B,정동영,37.90116295983072,29.088758938680854,8.812404021149861,8.812404021149861
strict_base,pres_2007,C,이회창,20.58311407801513,16.77090562022874,3.812208457786395,3.812208457786395
strict_base,pres_2012,A,박근혜,50.05851134728538,51.77328232773332,-1.7147709804479327,1.7147709804479327
strict_base,pres_2012,B,문재인,49.94148865271462,48.22671767226667,1.7147709804479438,1.7147709804479438
strict_base,pres_2017,A,문재인,36.32095940585619,47.47587104277205,-11.154911636915854,11.154911636915854
strict_base,pres_2017,B,홍준표,38.35096928261677,27.773130397522998,10.57783888509377,10.57783888509377
strict_base,pres_2017,C,안철수,25.32807131152704,24.75099855970494,0.5770727518220997,0.5770727518220997
strict_base,pres_2022,A,윤석열,48.53973792231111,49.1659023923536,-0.6261644700424895,0.6261644700424895
strict_base,pres_2022,B,이재명,47.73121566323472,48.4249412482297,-0.6937255849949864,0.6937255849949864
strict_base,pres_2022,C,심상정,3.7290464144541695,2.4091563594166776,1.319890055037492,1.319890055037492
structural,pres_2002,A,노무현,40.38115270326736,49.20915387642496,-8.828001173157606,8.828001173157606
structural,pres_2002,B,이회창,45.41094908054945,46.87048277717644,-1.4595336966269912,1.4595336966269912
structural,pres_2002,C,권영길,14.207898216183198,3.9203633463985774,10.28753486978462,10.28753486978462
structural,pres_2007,A,이명박,45.06009151951106,54.1403354410904,-9.080243921579346,9.080243921579346
structural,pres_2007,B,정동영,38.58680353243033,29.088758938680854,9.498044593749473,9.498044593749473
structural,pres_2007,C,이회창,16.35310494805861,16.77090562022874,-0.4178006721701266,0.4178006721701266
structural,pres_2012,A,박근혜,51.76364298805892,51.77328232773332,-0.0096393396743943,0.0096393396743943
structural,pres_2012,B,문재인,48.23635701194108,48.22671767226667,0.0096393396744054,0.0096393396744054
structural,pres_2017,A,문재인,37.11803344704178,47.47587104277205,-10.357837595730269,10.357837595730269
structural,pres_2017,B,홍준표,40.02795878231704,27.773130397522998,12.254828384794042,12.254828384794042
structural,pres_2017,C,안철수,22.85400777064118,24.75099855970494,-1.89699078906376,1.89699078906376
structural,pres_2022,A,윤석열,48.27330783138337,49.1659023923536,-0.8925945609702279,0.8925945609702279
structural,pres_2022,B,이재명,47.08824342744954,48.4249412482297,-1.3366978207801583,1.3366978207801583
structural,pres_2022,C,심상정,4.6384487411670765,2.4091563594166776,2.229292381750399,2.229292381750399
structural_mega,pres_2002,A,노무현,40.38115270326736,49.20915387642496,-8.828001173157606,8.828001173157606
structural_mega,pres_2002,B,이회창,45.41094908054945,46.87048277717644,-1.4595336966269912,1.4595336966269912
structural_mega,pres_2002,C,권영길,14.207898216183198,3.9203633463985774,10.28753486978462,10.28753486978462
structural_mega,pres_2007,A,이명박,45.06009151951106,54.1403354410904,-9.080243921579346,9.080243921579346
structural_mega,pres_2007,B,정동영,38.58680353243033,29.088758938680854,9.498044593749473,9.498044593749473
structural_mega,pres_2007,C,이회창,16.35310494805861,16.77090562022874,-0.4178006721701266,0.4178006721701266
structural_mega,pres_2012,A,박근혜,51.39245893753925,51.77328232773332,-0.3808233901940627,0.3808233901940627
structural_mega,pres_2012,B,문재인,48.60754106246076,48.22671767226667,0.3808233901940905,0.3808233901940905
structural_mega,pres_2017,A,문재인,38.5048931926537,47.47587104277205,-8.970977850118356,8.970977850118356
structural_mega,pres_2017,B,홍준표,37.75527734608738,27.773130397522998,9.982146948564392,9.982146948564392
structural_mega,pres_2017,C,안철수,23.73982946125892,24.75099855970494,-1.011169098446021,1.011169098446021
structural_mega,pres_2022,A,윤석열,48.27330783138337,49.1659023923536,-0.8925945609702279,0.8925945609702279
structural_mega,pres_2022,B,이재명,47.08824342744956,48.4249412482297,-1.3366978207801472,1.3366978207801472
structural_mega,pres_2022,C,심상정,4.6384487411670765,2.4091563594166776,2.229292381750399,2.229292381750399
structural_mega_shock,pres_2002,A,노무현,40.38115270326736,49.20915387642496,-8.828001173157606,8.828001173157606
structural_mega_shock,pres_2002,B,이회창,45.41094908054945,46.87048277717644,-1.4595336966269912,1.4595336966269912
structural_mega_shock,pres_2002,C,권영길,14.207898216183198,3.9203633463985774,10.28753486978462,10.28753486978462
structural_mega_shock,pres_2007,A,이명박,45.31975097940932,54.1403354410904,-8.82058446168108,8.82058446168108
structural_mega_shock,pres_2007,B,정동영,38.21980397317982,29.088758938680854,9.131045034498964,9.131045034498964
structural_mega_shock,pres_2007,C,이회창,16.46044504741086,16.77090562022874,-0.3104605728178777,0.3104605728178777
structural_mega_shock,pres_2012,A,박근혜,51.319720696332695,51.77328232773332,-0.453561631400623,0.453561631400623
structural_mega_shock,pres_2012,B,문재인,48.680279303667305,48.22671767226667,0.4535616314006341,0.4535616314006341
structural_mega_shock,pres_2017,A,문재인,39.861936849249965,47.47587104277205,-7.613934193522088,7.613934193522088
structural_mega_shock,pres_2017,B,홍준표,35.52961424980415,27.773130397522998,7.756483852281154,7.756483852281154
structural_mega_shock,pres_2017,C,안철수,24.608448900945888,24.75099855970494,-0.1425496587590502,0.1425496587590502
structural_mega_shock,pres_2022,A,윤석열,48.27330783138337,49.1659023923536,-0.8925945609702279,0.8925945609702279
